,original_index,item_number,document_number,volume,start_page,page_length,agency,title,action_FR_coded,phase,action,joint,publication_date,html_url,REG_DOT_GOV_DOCNO,RIN,identifier,URL,coded_on_sheet
428,136,0,2010-27533,75,67282,20,CFTC,Provisions Common to Registered Entities,Notice of proposed rulemaking.,NPR,Issuance,No,11/2/10,https://www.federalregister.gov/documents/2010/11/02/2010-27533/provisions-common-to-registered-entities,CFTC-2010-0156-0001,3038-AD07,891,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=891,Documents
429,136,1,2011-19385,76,45666,1,CFTC,Provisions Common to Registered Entities; Correction,Final rule; Correction.,FINAL,Correction,No,8/1/11,https://www.federalregister.gov/documents/2011/08/01/2011-19385/provisions-common-to-registered-entities-correction,CFTC-2011-0106-0001,3038-AD07,891,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=891,Documents
430,137,0,2010-27547,75,67301,3,CFTC,Antidisruptive Practices Authority Contained in the Dodd-Frank Wall Street Reform and Consumer Protection Act,Advance notice of proposed rulemaking; request for comments.,ANPR,Issuance,No,11/2/10,https://www.federalregister.gov/documents/2010/11/02/2010-27547/antidisruptive-practices-authority-contained-in-the-dodd-frank-wall-street-reform-and-consumer,CFTC-2010-0154-0001,3038-AD26,893,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=893,Documents
431,137,1,2011-6399,76,14826,2,CFTC,Antidisruptive Practices Authority,Advance notice of proposed rulemaking; notice of termination.,ANPR,Withdrawl,No,3/18/11,https://www.federalregister.gov/documents/2011/03/18/2011-6399/antidisruptive-practices-authority,CFTC-2011-0033-0001,3038-AD26,991,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=991,Documents
432,137,2,2011-6398,76,14943,6,CFTC,Antidisruptive Practices Authority,Proposed Interpretive Order.,NPR,Issuance,No,3/18/11,https://www.federalregister.gov/documents/2011/03/18/2011-6398/antidisruptive-practices-authority,CFTC-2011-0031-0001,,893,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=893,Documents
433,137,3,2013-12365,78,31890,8,CFTC,Antidisruptive Practices Authority,Interpretive guidance and policy statement.,GUIDANCE,Issuance,No,5/28/13,https://www.federalregister.gov/documents/2013/05/28/2013-12365/antidisruptive-practices-authority,CFTC-2013-0052-0001,3038-AD96,893,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=893,Documents
434,138,0,2010-29022,75,75727,34,CFTC,Implementing the Whistleblower Provisions of Section 23 of the Commodity Exchange Act,Notice of proposed rulemaking.,NPR,Issuance,No,12/6/10,https://www.federalregister.gov/documents/2010/12/06/2010-29022/implementing-the-whistleblower-provisions-of-section-23-of-the-commodity-exchange-act,CFTC-2010-0177-0001,3038-AD04,916,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=916,Documents
435,138,1,2011-20423,76,53171,52,CFTC,Whistleblower Incentives and Protection,Final rules.,FINAL,Issuance,No,8/25/11,https://www.federalregister.gov/documents/2011/08/25/2011-20423/whistleblower-incentives-and-protection,CFTC-2011-0110-0001,3038-AD04,916,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=916,Documents
436,139,0,2010-27541,75,67657,6,CFTC,Prohibition of Market Manipulation,Notice of proposed rulemaking.,NPR,Issuance,No,11/3/10,https://www.federalregister.gov/documents/2010/11/03/2010-27541/prohibition-of-market-manipulation,CFTC-2010-0158-0001,3038-AD27,895,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=895,Documents
437,139,1,2011-17549,76,41398,14,CFTC,"Prohibition on the Employment, or Attempted Employment, of Manipulative and Deceptive Devices and Prohibition on Price Manipulation",Final rules.,FINAL,Issuance,No,7/14/11,https://www.federalregister.gov/documents/2011/07/14/2011-17549/prohibition-on-the-employment-or-attempted-employment-of-manipulative-and-deceptive-devices-and,CFTC-2011-0088-0001,3038-AD27,895,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=895,Documents
438,140,0,2010-28136,75,68560,9,SEC,"Prohibition Against Fraud, Manipulation, and Deception in Connection With Security-Based Swaps",Proposed rule.,NPR,Issuance,No,11/8/10,https://www.federalregister.gov/documents/2010/11/08/2010-28136/prohibition-against-fraud-manipulation-and-deception-in-connection-with-security-based-swaps,SEC-2010-1705-0001,,S7-32-10,https://www.sec.gov/comments/s7-32-10/s73210.shtml,Documents
439,141,0,2010-29719,75,77305,73,SEC,"Security-Based Swap Data Repository Registration, Duties, and Core Principles",Proposed rule.,NPR,Issuance,No,12/10/10,https://www.federalregister.gov/documents/2010/12/10/2010-29719/security-based-swap-data-repository-registration-duties-and-core-principles,SEC-2010-1883-0001,,S7-35-10,https://www.sec.gov/comments/s7-35-10/s73510.shtml,Documents
440,141,1,2015-03127,80,14437,126,SEC,"Security-Based Swap Data Repository Registration, Duties, and Core Principles",Final rule.,FINAL,Issuance,No,3/19/15,https://www.federalregister.gov/documents/2015/03/19/2015-03127/security-based-swap-data-repository-registration-duties-and-core-principles,SEC-2015-0483-0001,,S7-35-10,https://www.sec.gov/comments/s7-35-10/s73510.shtml,Documents
441,142,0,2015-22844,80,55181,31,SEC,Access to Data Obtained by Security-Based Swap Data Repositories and Exemption From Indemnification Requirement,Proposed rule.,NPR,Issuance,No,9/14/15,https://www.federalregister.gov/documents/2015/09/14/2015-22844/access-to-data-obtained-by-security-based-swap-data-repositories-and-exemption-from-indemnification,SEC-2015-1506-0001,,S7-15-15,https://www.sec.gov/comments/s7-15-15/s71515.shtml,Documents
442,142,1,2016-21137,81,60585,24,SEC,Access to Data Obtained by Security-Based Swap Data Repositories,Final rule.,FINAL,Issuance,No,9/2/16,https://www.federalregister.gov/documents/2016/09/02/2016-21137/access-to-data-obtained-by-security-based-swap-data-repositories,SEC-2016-1566-0001,,S7-15-15,https://www.sec.gov/comments/s7-15-15/s71515.shtml,Documents
443,143,0,2010-31973,75,79992,20,SEC,End-User Exception to Mandatory Clearing of Security-Based Swaps,Proposed rule.,NPR,Issuance,No,12/21/10,https://www.federalregister.gov/documents/2010/12/21/2010-31973/end-user-exception-to-mandatory-clearing-of-security-based-swaps,SEC-2010-1974-0001,,S7-43-10,https://www.sec.gov/comments/s7-43-10/s74310.shtml,Documents
444,144,0,2011-2696,76,10947,124,SEC,Registration and Regulation of Security-Based Swap Execution Facilities,Proposed rule; proposed interpretation.,NPR,Issuance,No,2/28/11,https://www.federalregister.gov/documents/2011/02/28/2011-2696/registration-and-regulation-of-security-based-swap-execution-facilities,SEC-2011-0251-0001,,S7-06-11,https://www.sec.gov/comments/s7-06-11/s70611.shtml,Documents
445,145,0,2010-29710,75,75207,82,SEC,Regulation SBSR-Reporting and Dissemination of Security-Based Swap Information,Proposed rules.,NPR,Issuance,No,12/2/10,https://www.federalregister.gov/documents/2010/12/02/2010-29710/regulation-sbsr-reporting-and-dissemination-of-security-based-swap-information,SEC-2010-1823-0001,,S7-34-10,https://www.sec.gov/comments/s7-34-10/s73410.shtml,Documents
446,145,1,2013-10835,78,30967,315,SEC,Cross-Border Security-Based Swap Activities; Re-Proposal of Regulation SBSR and Certain Rules and Forms Relating to the Registration of Security-Based Swap Dealers and Major Security-Based Swap Participants,Proposed rules; proposed interpretations.,NPR,Issuance,No,5/23/13,https://www.federalregister.gov/documents/2013/05/23/2013-10835/cross-border-security-based-swap-activities-re-proposal-of-regulation-sbsr-and-certain-rules-and,SEC-2013-0972-0001,,S7-34-10,https://www.sec.gov/comments/s7-34-10/s73410.shtml,Documents
447,145,2,2015-03125,80,14739,66,SEC,Regulation SBSR-Reporting and Dissemination of Security-Based Swap Information,Proposed rule; guidance.,NPR,Issuance,No,3/19/15,https://www.federalregister.gov/documents/2015/03/19/2015-03125/regulation-sbsr-reporting-and-dissemination-of-security-based-swap-information,SEC-2015-0485-0001,,S7-03-15,https://www.sec.gov/comments/s7-03-15/s70315.shtml,Documents
448,145,3,2015-03124,80,14563,175,SEC,Regulation SBSR-Reporting and Dissemination of Security-Based Swap Information,Final rule.,FINAL,Issuance,No,3/19/15,https://www.federalregister.gov/documents/2015/03/19/2015-03124/regulation-sbsr-reporting-and-dissemination-of-security-based-swap-information,SEC-2015-0484-0001,,S7-34-10,https://www.sec.gov/comments/s7-34-10/s73410.shtml,Documents
449,145,4,2016-17032,81,53545,111,SEC,Regulation SBSR-Reporting and Dissemination of Security-Based Swap Information,Final rule.,FINAL,Issuance,No,8/12/16,https://www.federalregister.gov/documents/2016/08/12/2016-17032/regulation-sbsr-reporting-and-dissemination-of-security-based-swap-information,SEC-2016-1412-0001,,S7-03-15,https://www.sec.gov/comments/s7-03-15/s70315.shtml,Documents
450,146,0,2010-26217,75,64643,12,SEC,Reporting of Security-Based Swap Transaction Data,Interim final temporary rule; request for comments.,INTERIM-FINAL,Issuance,No,10/20/10,https://www.federalregister.gov/documents/2010/10/20/2010-26217/reporting-of-security-based-swap-transaction-data,SEC-2010-1611-0001,,S7-28-10,https://www.sec.gov/comments/s7-28-10/s72810.shtml,Documents
451,147,0,2011-5182,76,14471,69,SEC,Clearing Agency Standards for Operation and Governance,Proposed rule.,NPR,Issuance,No,3/16/11,https://www.federalregister.gov/documents/2011/03/16/2011-5182/clearing-agency-standards-for-operation-and-governance,SEC-2011-0360-0001,,S7-08-11,https://www.sec.gov/comments/s7-08-11/s70811.shtml,Documents
452,148,0,2010-32085,75,82489,45,SEC,Process for Submissions for Review of Security-Based Swaps for Mandatory Clearing and Notice Filing Requirements for Clearing Agencies; Technical Amendments to Rule 19b-4 and Form 19b-4 Applicable to All Self-Regulatory Organizations,Proposed rule.,NPR,Issuance,No,12/30/10,https://www.federalregister.gov/documents/2010/12/30/2010-32085/process-for-submissions-for-review-of-security-based-swaps-for-mandatory-clearing-and-notice-filing,SEC-2010-2026-0001,,S7-44-10,https://www.sec.gov/comments/s7-44-10/s74410.shtml,Documents
453,148,1,2012-16233,77,41601,61,SEC,Process for Submissions for Review of Security-Based Swaps for Mandatory Clearing and Notice Filing Requirements for Clearing Agencies; Technical Amendments to Rule 19b-4 and Form 19b-4 Applicable to All Self-Regulatory Organizations,Final rule.,FINAL,Issuance,No,7/13/12,https://www.federalregister.gov/documents/2012/07/13/2012-16233/process-for-submissions-for-review-of-security-based-swaps-for-mandatory-clearing-and-notice-filing,SEC-2012-1126-0001,,S7-44-10,https://www.sec.gov/comments/s7-44-10/s74410.shtml,Documents
454,149,0,2012-26164,77,70213,142,SEC,"Capital, Margin, and Segregation Requirements for Security-Based Swap Dealers and Major Security-Based Swap Participants and Capital Requirements for Broker-Dealers",Proposed rule.,NPR,Issuance,No,11/23/12,https://www.federalregister.gov/documents/2012/11/23/2012-26164/capital-margin-and-segregation-requirements-for-security-based-swap-dealers-and-major-security-based,SEC-2012-1926-0001,,S7-08-12,https://www.sec.gov/comments/s7-08-12/s70812.shtml,Documents
455,150,0,2011-5182,76,14471,69,SEC,Clearing Agency Standards for Operation and Governance,Proposed rule.,NPR,Issuance,No,3/16/11,https://www.federalregister.gov/documents/2011/03/16/2011-5182/clearing-agency-standards-for-operation-and-governance,SEC-2011-0360-0001,,S7-08-11,https://www.sec.gov/comments/s7-08-11/s70811.shtml,Documents
456,150,1,2012-26407,77,66219,68,SEC,Clearing Agency Standards,Final rule.,FINAL,Issuance,No,11/2/12,https://www.federalregister.gov/documents/2012/11/02/2012-26407/clearing-agency-standards,SEC-2012-1772-0001,,S7-08-11,https://www.sec.gov/comments/s7-08-11/s70811.shtml,Documents
457,151,0,2014-05806,79,16865,111,SEC,Standards for Covered Clearing Agencies,Proposed rule.,NPR,Issuance,No,3/26/14,https://www.federalregister.gov/documents/2014/03/26/2014-05806/standards-for-covered-clearing-agencies,SEC-2014-0478-0001,,S7-03-14,https://www.sec.gov/comments/s7-03-14/s70314.shtml,Documents
458,151,1,2016-23891,81,70786,121,SEC,Standards for Covered Clearing Agencies,Final rule.,FINAL,Issuance,No,10/13/16,https://www.federalregister.gov/documents/2016/10/13/2016-23891/standards-for-covered-clearing-agencies,SEC-2016-1831-0001,,S7-03-14,https://www.sec.gov/comments/s7-03-14/s70314.shtml,Documents
459,152,0,2016-23892,81,70744,41,SEC,Definition of Covered Clearing Agency,Proposed rule amendments.,NPR,Issuance,No,10/13/16,https://www.federalregister.gov/documents/2016/10/13/2016-23892/definition-of-covered-clearing-agency,SEC-2016-1839-0001,,S7-23-16,https://www.sec.gov/comments/s7-23-16/s72316.htm,Documents
460,153,0,2011-1218,76,3859,16,SEC,Trade Acknowledgment and Verification of Security-Based Swap Transactions,Proposed rule.,NPR,Issuance,No,1/21/11,https://www.federalregister.gov/documents/2011/01/21/2011-1218/trade-acknowledgment-and-verification-of-security-based-swap-transactions,SEC-2011-0097-0001,,S7-03-11,https://www.sec.gov/comments/s7-03-11/s70311.shtml,Documents
461,153,1,2016-13915,81,39807,39,SEC,Trade Acknowledgment and Verification of Security-Based Swap Transactions,Final rule.,FINAL,Issuance,No,6/17/16,https://www.federalregister.gov/documents/2016/06/17/2016-13915/trade-acknowledgment-and-verification-of-security-based-swap-transactions,SEC-2016-1050-0001,,S7-03-11,https://www.sec.gov/comments/s7-03-11/s70311.shtml,Documents
462,154,0,2011-16758,76,42395,65,SEC,Business Conduct Standards for Security-Based Swap Dealers and Major Security-Based Swap Participants,Proposed rule.,NPR,Issuance,No,7/18/11,https://www.federalregister.gov/documents/2011/07/18/2011-16758/business-conduct-standards-for-security-based-swap-dealers-and-major-security-based-swap,SEC-2011-1022-0001,,S7-25-11,https://www.sec.gov/comments/s7-25-11/s72511.shtml,Documents
463,154,1,2016-10918,81,29959,193,SEC,Business Conduct Standards for Security-Based Swap Dealers and Major Security-Based Swap Participants,Final rule.,FINAL,Issuance,No,5/13/16,https://www.federalregister.gov/documents/2016/05/13/2016-10918/business-conduct-standards-for-security-based-swap-dealers-and-major-security-based-swap,SEC-2016-0825-0001,,S7-25-11,https://www.sec.gov/comments/s7-25-11/s72511.shtml,Documents
464,155,0,2011-26889,76,65783,102,SEC,Registration of Security-Based Swap Dealers and Major Security-Based Swap Participants,Proposed rule.,NPR,Issuance,No,10/24/11,https://www.federalregister.gov/documents/2011/10/24/2011-26889/registration-of-security-based-swap-dealers-and-major-security-based-swap-participants,SEC-2011-1633-0001,,S7-40-11,https://www.sec.gov/comments/s7-40-11/s74011.shtml,Documents
465,155,1,2013-10835,78,30967,315,SEC,Cross-Border Security-Based Swap Activities; Re-Proposal of Regulation SBSR and Certain Rules and Forms Relating to the Registration of Security-Based Swap Dealers and Major Security-Based Swap Participants,Proposed rules; proposed interpretations.,NPR,Issuance,No,5/23/13,https://www.federalregister.gov/documents/2013/05/23/2013-10835/cross-border-security-based-swap-activities-re-proposal-of-regulation-sbsr-and-certain-rules-and,SEC-2013-0972-0001,,S7-02-13,https://www.sec.gov/comments/s7-02-13/s70213.shtml,Documents
466,155,2,2015-19661,80,48963,117,SEC,Registration Process for Security-Based Swap Dealers and Major Security-Based Swap Participants,Final rule.,FINAL,Issuance,No,8/14/15,https://www.federalregister.gov/documents/2015/08/14/2015-19661/registration-process-for-security-based-swap-dealers-and-major-security-based-swap-participants,SEC-2015-1361-0001,,S7-40-11,https://www.sec.gov/comments/s7-40-11/s74011.shtml,Documents
467,156,0,2014-09108,79,25193,194,SEC,"Recordkeeping and Reporting Requirements for Security-Based Swap Dealers, Major Security-Based Swap Participants, and Broker-Dealers; Capital Rule for Certain Security-Based Swap Dealers",Proposed rule.,NPR,Issuance,No,5/2/14,https://www.federalregister.gov/documents/2014/05/02/2014-09108/recordkeeping-and-reporting-requirements-for-security-based-swap-dealers-major-security-based-swap,SEC-2014-0725-0001,,S7-05-14,https://www.sec.gov/comments/s7-05-14/s70514.shtml,Documents
468,157,0,2010-26315,75,65881,52,SEC,"Ownership Limitations and Governance Requirements for Security-Based Swap Clearing Agencies, Security-Based Swap Execution Facilities, and National Securities Exchanges With Respect to Security-Based Swaps Under Regulation MC",Proposed rule.,NPR,Issuance,No,10/26/10,https://www.federalregister.gov/documents/2010/10/26/2010-26315/ownership-limitations-and-governance-requirements-for-security-based-swap-clearing-agencies,SEC-2010-1638-0001,,S7-27-10,https://www.sec.gov/comments/s7-27-10/s72710.shtml,Documents
469,158,0,2011-6685,76,15874,14,SEC,Beneficial Ownership Reporting Requirements and Security-Based Swaps,Proposed rule.,NPR,Issuance,No,3/22/11,https://www.federalregister.gov/documents/2011/03/22/2011-6685/beneficial-ownership-reporting-requirements-and-security-based-swaps,SEC-2011-0386-0001,,S7-10-11,https://www.sec.gov/comments/s7-10-11/s71011.shtml,Documents
470,158,1,2011-14572,76,34579,12,SEC,Beneficial Ownership Reporting Requirements and Security-Based Swaps,Final rule; confirmation.,FINAL,Issuance,No,6/14/11,https://www.federalregister.gov/documents/2011/06/14/2011-14572/beneficial-ownership-reporting-requirements-and-security-based-swaps,SEC-2011-0829-0001,,S7-10-11,https://www.sec.gov/comments/s7-10-11/s71011.shtml,Documents
471,159,0,2011-14717,76,34920,16,SEC,Exemptions for Security-Based Swaps Issued by Certain Clearing Agencies,Proposed rules.,NPR,Issuance,No,6/15/11,https://www.federalregister.gov/documents/2011/06/15/2011-14717/exemptions-for-security-based-swaps-issued-by-certain-clearing-agencies,SEC-2011-0836-0001,,S7-22-11,https://www.sec.gov/comments/s7-22-11/s72211.shtml,Documents
472,159,1,2012-8141,77,20536,14,SEC,Exemptions for Security-Based Swaps Issued by Certain Clearing Agencies,Final rule.,FINAL,Issuance,No,4/5/12,https://www.federalregister.gov/documents/2012/04/05/2012-8141/exemptions-for-security-based-swaps-issued-by-certain-clearing-agencies,SEC-2012-0534-0001,,S7-22-11,https://www.sec.gov/comments/s7-22-11/s72211.shtml,Documents
473,160,0,2014-21676,79,54224,18,SEC,Treatment of Certain Communications Involving Security-Based Swaps That May Be Purchased Only by Eligible Contract Participants,Proposed rule.,NPR,Issuance,No,9/11/14,https://www.federalregister.gov/documents/2014/09/11/2014-21676/treatment-of-certain-communications-involving-security-based-swaps-that-may-be-purchased-only-by,SEC-2014-1523-0001,,S7-09-14,https://www.sec.gov/comments/s7-09-14/s70914.shtml,Documents
474,161,0,2015-10382,80,27443,70,SEC,"Application of Certain Title VII Requirements to Security-Based Swap Transactions Connected With a Non-U.S. Person's Dealing Activity That Are Arranged, Negotiated, or Executed by Personnel Located in a U.S. Branch or Office or in a U.S. Branch or Office of an Agent",Proposed rules.,NPR,Issuance,No,5/13/15,https://www.federalregister.gov/documents/2015/05/13/2015-10382/application-of-certain-title-vii-requirements-to-security-based-swap-transactions-connected-with-a,SEC-2015-0813-0001,,S7-06-15,https://www.sec.gov/comments/s7-06-15/s70615.shtml,Documents
475,161,1,2016-03178,81,8597,41,SEC,"Security-Based Swap Transactions Connected With a Non-U.S. Person's Dealing Activity That Are Arranged, Negotiated, or Executed by Personnel Located in a U.S. Branch or Office or in a U.S. Branch or Office of an Agent; Security-Based Swap Dealer De Minimis Exception",Final rule.,FINAL,Issuance,No,2/19/16,https://www.federalregister.gov/documents/2016/02/19/2016-03178/security-based-swap-transactions-connected-with-a-non-us-persons-dealing-activity-that-are-arranged,SEC-2016-0271-0001,,S7-06-15,https://www.sec.gov/comments/s7-06-15/s70615.shtml,Documents
476,162,0,2011-17039,76,40605,8,SEC,Exemptions for Security-Based Swaps,Interim final rules; request for comments.,INTERIM-FINAL,Issuance,No,7/11/11,https://www.federalregister.gov/documents/2011/07/11/2011-17039/exemptions-for-security-based-swaps,SEC-2011-0965-0001,,S7-26-11,https://www.sec.gov/comments/s7-26-11/s72611.shtml,Documents
477,162,2,2017-03121,82,10703,5,SEC,Exemptions for Security-Based Swaps,Interim final rule.,INTERIM-FINAL,Issuance,No,2/15/17,https://www.federalregister.gov/documents/2017/02/15/2017-03121/exemptions-for-security-based-swaps,SEC-2017-0241-0001,,S7-26-11,https://www.sec.gov/comments/s7-26-11/s72611.shtml,Documents
478,163,0,2016-23890,81,69240,41,SEC,Amendment to Securities Transaction Settlement Cycle,Proposed rule.,NPR,Issuance,No,10/5/16,https://www.federalregister.gov/documents/2016/10/05/2016-23890/amendment-to-securities-transaction-settlement-cycle,SEC-2016-1788-0001,,S7-22-16,https://www.sec.gov/comments/s7-22-16/s72216.htm,Documents
479,164,0,2010-32005,75,79982,3,FSOC,Authority To Designate Financial Market Utilities as Systemically Important,Advance notice of proposed rulemaking.,ANPR,Issuance,No,12/21/10,https://www.federalregister.gov/documents/2010/12/21/2010-32005/authority-to-designate-financial-market-utilities-as-systemically-important,FSOC-2010-0003-0001,,FSOC-2010-0003,https://www.regulations.gov/docket?D=FSOC-2010-0003,Documents
480,164,1,2011-7003,76,17047,16,FSOC,Authority To Designate Financial Market Utilities as Systemically Important,Notice of proposed rulemaking.,NPR,Issuance,No,3/28/11,https://www.federalregister.gov/documents/2011/03/28/2011-7003/authority-to-designate-financial-market-utilities-as-systemically-important,FSOC-2011-0003-0001,4030–AA01,FSOC-2011-0003,https://www.regulations.gov/docket?D=FSOC-2011-0003,Documents
481,164,2,2011-18948,76,44763,14,FSOC,Authority To Designate Financial Market Utilities as Systemically Important,Final rule.,FINAL,Issuance,No,7/27/11,https://www.federalregister.gov/documents/2011/07/27/2011-18948/authority-to-designate-financial-market-utilities-as-systemically-important,FSOC-2011-0001-0046,4030-AA00,FSOC-2011-0001,https://www.regulations.gov/docket?D=FSOC-2011-0001,Documents
482,165,0,2011-7812,76,18445,10,FRS,Financial Market Utilities,Notice of proposed rulemaking.,NPR,Issuance,No,4/4/11,https://www.federalregister.gov/documents/2011/04/04/2011-7812/financial-market-utilities,FRS-2011-0082-0001,7100-AD71,R-1412,https://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1412&doc_ver=1,Documents
483,165,1,2012-18762,77,45907,15,FRS,Financial Market Utilities,Final rule.,FINAL,Issuance,No,8/2/12,https://www.federalregister.gov/documents/2012/08/02/2012-18762/financial-market-utilities,FRS-2012-0218-0001,7100-AD71,R-1412,https://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1412&doc_ver=1,Documents
484,165,2,2014-00682,79,3665,29,FRS,Financial Market Utilities,Notice of proposed rulemaking.,NPR,Issuance,No,1/22/14,https://www.federalregister.gov/documents/2014/01/22/2014-00682/financial-market-utilities,FRS-2014-0024-0001,7100-AE09,R–1477,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1477&doc_ver=1,Documents
485,165,3,2014-26090,79,65543,20,FRS,Financial Market Utilities,Final rule.,FINAL,Issuance,No,11/5/14,https://www.federalregister.gov/documents/2014/11/05/2014-26090/financial-market-utilities,FRS-2014-0327-0001,7100-AE09,R–1477,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1477&doc_ver=1,Documents
486,166,0,2012-26435,77,67865,107,CFTC,Enhancing Protections Afforded Customers and Customer Funds Held by Futures Commission Merchants and Derivatives Clearing Organizations,Notice of proposed rulemaking.,NPR,Issuance,No,11/14/12,https://www.federalregister.gov/documents/2012/11/14/2012-26435/enhancing-protections-afforded-customers-and-customer-funds-held-by-futures-commission-merchants-and,CFTC-2012-0138-0001,3038-AD88,1291,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1291,Documents
487,166,1,2013-26665,78,68505,153,CFTC,Enhancing Protections Afforded Customers and Customer Funds Held by Futures Commission Merchants and Derivatives Clearing Organizations,Final rule.,FINAL,Issuance,No,11/14/13,https://www.federalregister.gov/documents/2013/11/14/2013-26665/enhancing-protections-afforded-customers-and-customer-funds-held-by-futures-commission-merchants-and,CFTC-2013-0097-0001,3038-AD88,1291,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1291,Documents
488,167,0,2013-04841,78,14024,6,FRS,Financial Market Utilities,Notice of Proposed Rulemaking.,NPR,Issuance,No,3/4/13,https://www.federalregister.gov/documents/2013/03/04/2013-04841/financial-market-utilities,FRS-2013-0063-0001,7100-AD94,R-1455,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1455&doc_ver=1,Documents
489,167,1,2013-29711,78,76973,8,FRS,Financial Market Utilities,Final rulemaking.,FINAL,Issuance,No,12/20/13,https://www.federalregister.gov/documents/2013/12/20/2013-29711/financial-market-utilities,FRS-2013-0376-0001,7100-AD94,R-1455,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1455&doc_ver=1,Documents
490,168,0,2010-30590,75,75650,6,SEC,Temporary Rule Regarding Principal Trades With Certain Advisory Clients,Proposed rule.,NPR,Issuance,No,12/6/10,https://www.federalregister.gov/documents/2010/12/06/2010-30590/temporary-rule-regarding-principal-trades-with-certain-advisory-clients,SEC-2010-1835-0001,,S7-23-07,https://www.sec.gov/comments/s7-23-07/s72307.shtml,Documents
491,168,1,2010-33077,75,82236,6,SEC,Principal Trades with Certain Advisory Clients,Temporary final rule.,INTERIM-FINAL,Issuance,No,12/30/10,https://www.federalregister.gov/documents/2010/12/30/2010-33077/principal-trades-with-certain-advisory-clients,SEC-2010-2025-0001,,S7-23-07,https://www.sec.gov/comments/s7-23-07/s72307.shtml,Documents
492,168,2,2012-25116,77,62185,7,SEC,Temporary Rule Regarding Principal Trades With Certain Advisory Clients,Proposed rule.,NPR,Issuance,No,10/12/12,https://www.federalregister.gov/documents/2012/10/12/2012-25116/temporary-rule-regarding-principal-trades-with-certain-advisory-clients,SEC-2012-1668-0001,,S7-23-07,https://www.sec.gov/comments/s7-23-07/s72307.shtml,Documents
493,168,3,2012-31221,77,76854,7,SEC,Temporary Rule Regarding Principal Trades With Certain Advisory Clients,Final rule.,FINAL,Issuance,No,12/31/12,https://www.federalregister.gov/documents/2012/12/31/2012-31221/temporary-rule-regarding-principal-trades-with-certain-advisory-clients,SEC-2012-2174-0001,,S7-23-07,https://www.sec.gov/comments/s7-23-07/s72307.shtml,Documents
494,168,4,2014-19421,79,48709,8,SEC,Temporary Rule Regarding Principal Trades With Certain Advisory Clients,Proposed rule.,NPR,Issuance,No,8/18/14,https://www.federalregister.gov/documents/2014/08/18/2014-19421/temporary-rule-regarding-principal-trades-with-certain-advisory-clients,SEC-2014-1383-0001,,S7-23-07,https://www.sec.gov/comments/s7-23-07/s72307.shtml,Documents
495,168,5,2014-29975,79,76880,9,SEC,Temporary Rule Regarding Principal Trades With Certain Advisory Clients,Final rule.,FINAL,Issuance,No,12/23/14,https://www.federalregister.gov/documents/2014/12/23/2014-29975/temporary-rule-regarding-principal-trades-with-certain-advisory-clients,SEC-2014-2159-0001,,S7-23-07,https://www.sec.gov/comments/s7-23-07/s72307.shtml,Documents
496,170,0,2010-28186,75,70487,69,SEC,Proposed Rules for Implementing the Whistleblower Provisions of Section 21F of the Securities Exchange Act of 1934,Proposed rule.,NPR,Issuance,No,11/17/10,https://www.federalregister.gov/documents/2010/11/17/2010-28186/proposed-rules-for-implementing-the-whistleblower-provisions-of-section-21f-of-the-securities,SEC-2010-1760-0001,,S7-33-10,https://www.sec.gov/comments/s7-33-10/s73310.shtml,Documents
497,170,1,2011-13382,76,34299,86,SEC,Securities Whistleblower Incentives and Protections,Final rule.,FINAL,Issuance,No,6/13/11,https://www.federalregister.gov/documents/2011/06/13/2011-13382/securities-whistleblower-incentives-and-protections,SEC-2011-0813-0001,,S7-33-10,https://www.sec.gov/comments/s7-33-10/s73310.shtml,Documents
498,171,0,2011-28274,76,68084,14,OSHA,"Procedures for the Handling of Retaliation Complaints Under Section 806 of the Sarbanes-Oxley Act of 2002, as Amended",Interim Final Rule; request for comments.,INTERIM-FINAL,Issuance,No,11/3/11,https://www.federalregister.gov/documents/2011/11/03/2011-28274/procedures-for-the-handling-of-retaliation-complaints-under-section-806-of-the-sarbanes-oxley-act-of,OSHA-2011-0126-0001,1218-AC53,OSHA-2011-0126,https://www.regulations.gov/docket?D=OSHA-2011-0126,Documents
