,Topic,Category,Agencies,Dodd-Frank Section,Citation,Regulator Summary,Timeline,Final Rule,Proposed Rule / ANPR,Related Tracker Rows,Associated Rulemap,Doc ID
256,Privacy of Consumer Financial Information,Consumer Protection,CFPB,1093,"12 CFR Part 1016
RIN 3170 - AA06","Title X of the Dodd-Frank  Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to the CFPB as of July 21, 2011, including most provisions of Subtitle A of Title V of the Gramm- Leach-Bliley Act, with respect to financial institutions described in section 504 of the GLB Act. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer of rulemaking authority for the privacy provisions of the GLB Act to the CFPB, the CFPB is  publishing for public comment an interim final rule establishing a new Regulation P (Privacy of Consumer Financial Information). This interim final rule does not impose any new substantive obligations on regulated entities.","2016/04/28 - Final Rule and Effective Date of Final Rule
2012/02/21 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date of Interim Final Rule
2011/12/21 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/21 CFPB Interim Final Rule Privacy of Consumer Financial Information (Comments due by February 21, 2012) (Effective December 30, 2011)",,1142,,201
257,Privacy of Consumer Financial Information,Consumer Protection,CFTC,"1093
Title VII","17 CFR Part 160
RIN 3038-AD13","The CFTC is amending its rules under part 160 of its regulations to implement new statutory provisions enacted by titles VII and X of the Dodd-Frank Act. Section 1093 of the Dodd-Frank Act provides for certain amendments to title V of the Gramm-Leach-Bliley Act (the ""GLB Act""). The GLB Act sets forth certain protections for the privacy of consumer financial information and was amended by the Dodd-Frank Act to affirm the Commission's jurisdiction in this area. The Commission's amendments to its regulations, inter alia, broaden the scope of part 160 to cover two new entities created by title VII of the Dodd-Frank Act: swap dealers and major swap participants.","2011/09/20 - Effective Date of Final Rule (Compliance dates vary)
2011/07/22 - Final Rule
2010/12/27 - Comment Deadline for Proposed Rule
2010/10/27 - Proposed Rule","2011/07/22 CFTC Final Rule Privacy of Consumer Financial Information; Conforming Amendments Under the Dodd-Frank Act (Effective September 20, 2011) (Compliance dates vary)","2010/10/27 CFTC Proposed Rule Privacy of Consumer Financial Information; Conforming Amendments Under the Dodd-Frank Act (Comments due by December 27, 2010)","415
1143",,105
258,Privacy of Consumer Information (Regulation P),Consumer Protection,Federal Reserve,1093,"12 CFR Part 216
RIN 7100 AE13","The Federal Reserve is repealing its Regulation P, 12 CFR part 216, which was issued to implement section 504 of the Gramm-Leach Bliley Act (GLB Act). Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from the Federal Reserve, and six other Federal agencies, to the CFPB, including rulemaking authority for the provisions in Subtitle A of Title V of the GLB Act that were implemented in the Federal Reserve's Regulation P. In December 2011, the CFPB published an interim final rule establishing its own Regulation P to implement these provisions of the GLB Act. The CFPB's Regulation P covers those entities previously subjected to the Federal Reserve's Regulation P. Accordingly, the Federal Reserve is repealing its Regulation P.","2014/06/30 - Effective Date of Final Rule
2014/05/29 - Final Rule
2014/04/15 - Comment Deadline for Proposed Rule
2014/02/14 - Proposed Rule","2014/05/29 Fed Final Rule Privacy of Consumer Information (Regulation P) (Effective June 30, 2014)","2014/02/14 Fed Proposed Rule Privacy of Consumer Information (Regulation P) (Comments due by April 15, 2014)",1142,,291
259,Amendment to the Annual Privacy Notice Requirement Under the Gramm-Leach-Bliley Act (Regulation P),Consumer Protection,CFPB,1093,"12 CFR Part 1016
RIN 3170-AA39","The CFPB is amending Regulation P, which requires, among other things, that financial institutions provide an annual disclosure of their privacy policies to their customers. The amendment would create an alternative delivery method for this annual disclosure, which financial institutions would be able to use under certain circumstances.","2014/10/28 - Effective Date of Final Rule
2014/10/20 - Final Rule
2014/07/14 - Comment Deadline for Proposed Rule
2014/05/13 - Proposed Rule","2014/10/28 CFPB Final Rule Amendment to the Annual Privacy Notice Requirement Under the Gramm-Leach-Bliley Act (Regulation P) (Effective October 28, 2014)","2014/05/13 CFPB Proposed Rule Amendment to the Annual Privacy Notice Requirement Under the Gramm-Leach-Bliley Act (Regulation P) (Comment deadline extended to July 14, 2014; comments originally due by June 12, 2014)",1142,,303
260,Home Mortgage Disclosure (Regulation C),Consumer Protection,CFPB,1094,"12 CFR Part 1003
RIN 3170 - AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer to the CFPB of the Fed's rulemaking authority for the Home Mortgage Disclosure Act of 1975, as amended, the CFPB is publishing for public comment an interim final rule establishing a new Regulation C. This interim final rule does not impose any new substantive obligations on persons subject to the existing Regulation C,","2018/01/01 - Effective Date of Final Rule
2016/04/28 - Final Rule and Effective Date of Final Rule (Finalization)
2015/10/28 - Final Rule
2012/02/17 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date of Interim Final Rule
2011/12/19 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2015/10/28 CFPB Final Rule Home Mortgage Disclosure (Regulation C) (Effective January 1, 2020; except for the amendment to the definition of financial institution, which is effective January 1, 2017; the amendments to § 1003.5(b) through (f) and appendix A, which are effective on January 1, 2018 and the amendments to §1003.5(a)(1)(ii), which are effective on January 1, 2020; however, the amendments to paragraphs (b) and (f) § 1003.5, as revised effective January 1, 2018, are then revised again effective on January 1, 2109, at which time the amendments to § 1003.5(a)(1)(i), (a)(1)(iii), and (a)(2) through (5), §1003.6, the commentary to those paragrphs, and appendix A are also amended, at which point appendix A will be removed and reserved) (Correction)
2011/12/19 CFPB Interim Final Rule Home Mortgage Disclosure (Comments due by February 17, 2012) (Effective December 30, 2011)",,"1151
1157",,195
261,Home Mortgage Disclosure (Regulation C),Consumer Protection,CFPB,1094,"12 CFR Part 1003
RIN 3170-AA10","The CFPB is publishing for public comment a proposed rule amending Regulation C to implement amendments to the Home Mortgage Disclosure Act (HMDA) made by section 1094 of the Dodd-Frank Act. Consistent with section 1094 of the Dodd-Frank Act, the CFPB proposes to add several new reporting requirements and to clarify several existing requirements. The CFPB is also proposing changes to institutional and transactional coverage under Regulation C.","2014/10/22 - Comment Deadline for Proposed Rule
2014/07/25 - Proposed Rule",,"2014/08/29 CFPB Proposed Rule Home Mortgage Disclosure (Regulation C) (Comments due by October 22, 2014)","1151
1152",,310
262,Mortgage Practices and Mortgage Assistance Relief Services,Consumer Protection,CFPB,1097,"12 CFR Parts 1014 and 1015
RIN 3170-AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to the CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer of the FTC's rulemaking authority for section 626 of the Omnibus Appropriations Act, 2009 to the CFPB, the CFPB is publishing for public comment an interim final rule establishing a new Regulation N (Mortgage Acts and Practices—Advertising Rule) and a new Regulation O (Mortgage Assistance Relief Services Rule). This interim final rule does not impose any new substantive obligations on persons subject to the existing Mortgages Acts and Practices—Advertising Rule or the existing Mortgage Assistance Relief Services Rule, previously published by the FTC.","2016/04/28 - Final Rule and Effective Date of Final Rule
2012/02/14 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date of Interim Final Rule
2011/12/15 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/16 CFPB Interim Final Rule Mortgage Acts and Practices - Advertising; Mortgage Assistance Relief Services (Comments due February 14, 2012) (Effective December 30, 2011)",,1163,,190
263,Real Estate Settlement and Procedures Act,Consumer Protection,CFPB,1098,"12 CFR Part 1024
RIN 3170 - AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to the CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer of the Department of Housing and Urban Development’s rulemaking authority for the Real Estate Settlement Procedures Act to the CFPB, the CFPB is publishing for public comment an interim final rule establishing a new Regulation. This interim final rule does not impose any new substantive obligations on persons subject to the existing Regulation X, previously published by HUD.","2016/04/28 - Final Rule and Effective Date of Final Rule
2012/02/21 - Comment Deadline for Interim Final Rule
2011/12/30 - Interim Final Rule Effective
2011/12/20 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/20 CFPB Interim Final Rule Real Estate Settlement Procedures Act (Comments due by February 21, 2012) (Effective December 30, 2011)",,1171,,196
264,Interstate Land Sales Registration Program,Consumer Protection,CFPB,1098A,"12 CFR Parts 1010, 1011, and 1012
RIN 3170 - AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to the CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer of the Department of Housing and Urban Development’s rulemaking authority for the Interstate Land Sales Full Disclosure Act to the CFPB , the CFPB is publishing for public comment an interim final rule establishing a new Regulation J; a new Regulation K (Purchasers’ Revocation Rights, Sales Practices and Standards); and a new Regulation L (Special Rules of Practice). This interim final rule does not impose any new substantive obligations on persons subject to HUD’s existing ILSA regulations.","2016/06/10 - Effective Date of Final Rule
2016/05/11 - Final Rule
2016/04/28 - Final Rule and Effective Date of Final Rule
2012/02/21 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date of Interim Final Rule
2011/12/21 - Interim Final Rule","2016/05/11 CFPB Final Rule Amendments to Filing Requirements Under the Interstate Land Sales Full Disclosure Act (Regulations J and L) (Effective June 10, 2016)
2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/21 CFPB Interim Final Rule Interstate Land Sales Registration Program (Comments due by February 21, 2012) (Effective December 30, 2011)",,1181,,202
265,Minimum Licensing Standards and Oversight Responsibilities,Consumer Protection,HUD,1100,"24 CFR Parts 30 and 3400

 RIN 2502-A170","This final rule sets forth the minimum standards for the state licensing and registration of residential mortgage loan originators, requirements for operating the Nationwide Mortgage Licensing System and Registry, and HUD's Federal oversight responsibilities pursuant to the Secure and Fair Enforcement Mortgage Licensing Act of 2008 (SAFE Act), to ensure proper monitoring and enforcement of states' compliance with statutory requirements. This 2008 law directs states to adopt loan originator licensing and registration requirements that meet the minimum standards specified in the SAFE Act.  In addition to codifying the minimum licensing standards and HUD's oversight responsibilities under the SAFE Act, this rule also clarifies or interprets certain statutory provisions that pertain to the scope of the SAFE Act's licensing requirements, and other requirements that pertain to the implementation, oversight, and enforcement responsibilities of the states.","2011/08/29 - Effective Date of Final Rule
2011/06/30 - Final Rule","2011/06/30 HUD Final Rule SAFE Mortgage Licensing Act: Minimum Licensing Standards and Oversight Responsibilities (Effective August 29, 2011)",,"1185
1186",,149
266,S.A.F.E. Mortgage Licensing Act,Consumer Protection,CFPB,1100,"12 CFR Part 1007 and 1008
RIN 3170-AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to the CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer to the CFPB of the rulemaking authority of the Fed, the OCC, the NCUA, the FDIC, and HUD for the SAFE Act, the CFPB is publishing for public comment an interim final rule establishing a new Regulation G (SAFE Mortgage Licensing Act – Federal Registration of Residential Mortgage Loan Originators) and a new Regulation H (SAFE Mortgage Licensing Act – State Compliance and Bureau Registration System). This interim final rule also covers employees of institutions regulated by the FCA. This interim final rule does not impose any new substantive obligations on persons subject to the existing SAFE. Act regulations.","2016/04/28 - Final Rule and Effective Date of Final Rule
2011/02/17 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date of Interim Final Rule
2011/12/19 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/19 CFPB Interim Final Rule S.A.F.E. Mortgage Licensing Act (Comments due by February 17, 2012) (Effective December 30, 2011)",,"1184
1185",,193
267,Truth in Lending,Consumer Protection,CFPB,1100A,"12 CFR Part 1026
RIN 3170 - AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to the CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd- Frank Act. In light of the transfer of the Fed rulemaking authority for the TILA to the CFPB , the CFPB is publishing for public comment an interim final rule establishing a new Regulation Z (Truth in Lending). This interim final rule does not impose any new substantive obligations on persons subject to the existing Regulation Z, previously published by the Board.","2016/04/28 - Final Rule and Effective Date of Final Rule
2012/02/21 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date for Interim Final Rule
2011/12/22 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/22 CFPB Interim Final Rule Truth in Lending (Comments due by February 21, 2012) (Effective December 30, 2011)",,1189,,203
268,Truth in Savings,Consumer Protection,CFPB,1100B,"12 CFR Part 1030
RIN 3170 - AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven federal agencies to the CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer of the Fed's  rulemaking authority for the Truth in Savings Act to the CFPB, the CFPB is publishing for public comment an interim final rule establishing a new Regulation DD (Truth in Savings). This interim final rule does not impose any new substantive obligations on persons subject to the existing Regulation","2016/04/28 - Final Rule and Effective Date of Final Rule
2012/02/21 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date of Interim Final Rule
2011/12/21 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/21 CFPB Interim Final Rule Truth in Savings (Comments due by February 21, 2012) (Effective December 30, 2011)",,1195,,199
269,Truth in Savings (Regulation DD),Consumer Protection,Federal Reserve,1100B,"12 CFR Part 230
RIN 7100 AE12","The Federal Reserve is repealing its Regulation DD, 12 CFR part 230, which was issued to implement the Truth in Savings Act (TISA). Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws, including TISA, from the Federal Reserve to the CFPB. In December 2011, the CFPB published an interim final rule establishing its own Regulation DD to implement TISA. The interim final rule substantially duplicates the Federal Reserve's Regulation DD. Under section 1029 of the Dodd-Frank Act, the Federal Reserve retains authority to issue rules for certain motor vehicle dealers that offer consumer financial services and are not subject to the CFPB's regulatory authority. The Federal Reserve is not aware of any entities that are motor vehicle dealers engaging in activities subject to TISA that would be subject to the Federal Reserve's rulemaking authority under section 1029 of the Dodd-Frank Act. Accordingly, the Federal Reserve is repealing its Regulation DD.","2014/06/30 - Effective Date of Final Rule
2014/05/29 - Final Rule
2014/04/21 - Comment Deadline for Proposed Rule
2014/02/20 - Proposed Rule","2014/05/29 Fed Final Rule Truth in Savings (Regulation DD) (Effective June 30, 2014)","2014/02/20 Fed Proposed Rule Truth in Savings (Regulation DD) (Comments due by April 21, 2014)",1195,,292
270,"Consumer Leasing
[DPW Note: See related Annual Adjustment.]",Consumer Protection,"CFPB
Federal Reserve",1100E,"12 CFR Parts 213 and 1013
RIN 7100–AD94","The Federal Reserve and the CFPB are publishing final rules amending the official interpretations and commentary for the agencies' regulations that implement the Consumer Leasing Act (CLA). The Dodd-Frank Act amended the CLA by requiring that the dollar threshold for exempt consumer leases be adjusted annually by any annual percentage increase in the Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI-W). Based on the annual percentage increase in the CPI-W as of June 1, 2013, the Federal Reserve and the CFPB are adjusting the exemption threshold to $53,500, effective January 1, 2014. Because the Dodd-Frank Act also requires similar adjustments in the Truth in Lending Act's threshold for exempt consumer credit transactions, the Federal Reserve and the CFPB are making similar amendments to each of their respective regulations implementing TILA elsewhere in the Federal Register.","2014/01/01 - Effective Date of Final Rule (2014)
2013/11/25 - Final Rule (2014)
2013/01/01 - Effective Date of Final Rule (2013)
2012/11/21 - Final Rule (2013)
2012/01/01 - Effective Date of Final Rule (2012)
2011/07/21 - Effective Date of Final Rule (2011)
2011/06/20 - Final Rule (2012)
2011/04/04 - Final Rule (2011)
2011/02/01 - Comment Deadline for Proposed Rule
2010/12/16 - Proposed Rule","2013/11/25 CFPB/Fed Final Rule Consumer Leasing (Regulation M) (Effective January 1, 2014)
2012/11/21 CFPB/Fed Final Rule Consumer Leasing (Regulation M) (Effective January 1, 2013)
2011/06/20 Fed Final Rule Consumer Leasing - Adjustment to Exemption Threshold (Effective January 1, 2012)
2011/04/04 Fed Final Rule Consumer Leasing (Effective July 21, 2011)","2010/12/16 Fed Proposed Rule Consumer Leasing (Comments due by February 1, 2011)",1350,,106
271,"Exemption Threshold in Consumer Credit Transactions
[DPW Note: See related Annual Adjustment.]",Consumer Protection,"CFPB
Federal Reserve",1100E,"12 CFR Parts 226 and 1026
RIN 7100–AD94","The Federal Reserve and the CFPB are publishing final rules amending the official interpretations and commentary for the agencies' regulations that implement TILA. The Dodd-Frank Act amended TILA by requiring that the dollar threshold for exempt consumer credit transactions be adjusted annually by any annual percentage increase in the Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI-W). Based on the annual percentage increase in the CPI-W as of June 1, 2013, the Federal Reserve and the CFPB are adjusting the exemption threshold to $53,500 effective January 1, 2014. Because the Dodd-Frank Act also requires similar adjustments in the Consumer Leasing Act's threshold for exempt consumer leases, the Federal Reserve and the CFPB are making similar amendments to each of their respective regulations implementing the Consumer Leasing Act elsewhere in the Federal Register.","2014/01/01 - Effective Date of Final Rule (2014)
2013/11/25 - Final Rule (2014)
2013/01/01 - Effective Date of Final Rule (2013)
2012/11/21 - Final Rule (2013)
2012/01/01 - Effective Date of Final Rule (2012)
2011/07/21 - Effective Date of Final Rule (2011)
2011/06/20 - Final Rule (2012)
2011/04/04 - Final Rule (2011)
2011/02/01 - Comment Deadline for Proposed Rule
2010/12/16 - Proposed Rule","2014/08/15 CFPB Final Rule Truth in Lending Annual Threshold Adjustments (Effective January 1, 2015)
2013/11/25 CFPB/Fed Final Rule Truth in Lending (Regulation Z) (Effective January 1, 2014)
2012/11/21 CFPB/Fed Final Rule Truth in Lending (Regulation Z) (Effective January 1, 2013)
2011/06/20 Fed Final Rule Truth in Lending - Adjustment to Exemption Threshold in Consumer Credit Transactions (Effective January 1, 2012)
2011/04/04 Fed Final Rule Truth in Lending - Exemption Threshold in Consumer Credit Transactions (Effective July 21, 2011)","2010/12/16 Fed Proposed Rule Truth in Lending - Exemption Threshold in Consumer Credit Transactions (Comments due by February 1, 2011)",1350,,107
272,Consumer Leasing,Consumer Protection,CFPB,1100E,"12 CFR Part 1013
RIN 3170–AA06","Title X of the Dodd-Frank Act transferred rulemaking authority for a number of consumer financial protection laws from seven Federal agencies to the CFPB as of July 21, 2011. The CFPB is in the process of republishing the regulations implementing those laws with technical and conforming changes to reflect the transfer of authority and certain other changes made by the Dodd-Frank Act. In light of the transfer of the Fed's rulemaking authority for the Consumer Leasing Act of 1976 to the CFPB, the CFPB is publishing for public comment an interim final rule establishing a new Regulation M (Consumer Leasing). This interim final rule does not impose any new substantive obligations on persons subject to the existing Regulation M, previously published by the Fed.","2016/04/28 - Final Rule and Effective Date of Final Rule
2012/02/17 - Comment Deadline for Interim Final Rule
2011/12/30 - Effective Date of Interim Final Rule
2011/12/19 - Interim Final Rule","2016/04/28 CFPB Final Rule Finalization of Interim Final Rules (Subject to Any Intervening Amendments) Under Consumer Financial Protection Laws (Effective April 28, 2016)
2011/12/19 CFPB Interim Final Rule Consumer Leasing (Comments due by February 17, 2012) (Effective December 30, 2011) (Correction)",,1189,,192
273,Equal Credit Opportunity,Consumer Protection,Federal Reserve,1100F,"12 CFR Part 202
RIN 7100-AD67","Section 701 of the Equal Credit Opportunity Act (ECOA) requires a creditor to notify a credit applicant when it has taken adverse action against the applicant. The ECOA adverse action requirements are implemented in the Board's Regulation B. Section 615(a) of the Fair Credit Reporting Act (FCRA) also requires a person to provide a notice when the person takes an adverse action against a consumer based in whole or in part on information in a consumer report. Certain model notices in Regulation B include the content required by both the ECOA and the FCRA adverse action provisions, so that creditors can use the model notices to comply with the adverse action requirements of both statutes. The Board is amending these model notices in Regulation B to include the disclosure of credit scores and related information if a credit score is used in taking adverse action. The revised model notices reflect the new content requirements in section 615(a) of the FCRA as amended by section 1100F of the Dodd-Frank Act.","2011/08/15 - Effective Date of Final Rule
2011/07/15 - Final Rule
2011/04/14 - Comment Deadline for Proposed Rule
2011/03/15 - Proposed Rule","2011/07/15 Fed Final Rule Equal Credit Opportunity (Effective August 15, 2011)","2011/03/15 Fed Proposed Rule Equal Credit Opportunity (Comments due by April 14, 2011)",1351,,109
274,Fair Credit Reporting Risk-Based Pricing Regulations,Consumer Protection,"Federal Reserve
FTC",1100F,"12 CFR Part 222
16 CFR Parts 640 and 698
RIN 7100-AD66
RIN R411009","On January 15, 2010, the Federal Reserve and the FTC published final rules to implement the risk-based pricing provisions in section 311 of the Fair and Accurate Credit Transactions Act of 2003 (FACT Act), which amended the Fair Credit Reporting Act (FCRA). The final rules generally require a creditor to provide a risk-based pricing notice to a consumer when the creditor uses a consumer report to grant or extend credit to the consumer on material terms that are materially less favorable than the most favorable terms available to a substantial proportion of consumers from or through that creditor. The Board and the Commission are amending their respective risk-based pricing rules to require disclosure of credit scores and information relating to credit scores in risk-based pricing notices if a credit score of the consumer is used in setting the material terms of credit. These final rules reflect the new requirements in section 615(h) of the FCRA that were added by section 1100F of the Dodd-Frank Act.","2011/08/15 - Effective Date of Final Rule
2011/07/15 - Final Rule
2011/04/14 - Comment Deadline for Proposed Rule
2011/03/15 - Proposed Rule","2011/07/15 Fed/FTC Final Rule Fair Credit Reporting Risk-Based Pricing Regulations (Effective August 15, 2011)","2011/03/15 Fed/FTC Proposed Rule Fair Credit Reporting Risk-Based Pricing Regulations (Comments due by April 14, 2011) (Fed Commentary Page) (FTC Commentary Page)",1351,,108
275,Extensions of Credit by Federal Reserve Banks,Federal Reserve and Emergency Stabilization,Federal Reserve,"1101  
1103","12 CFR Part 201
RIN 7100-AE08","The Federal Reserve invites public comment on proposed amendments to Regulation A (Extensions of Credit by Federal Reserve banks) that would implement sections 1101 and 1103 of the Dodd-Frank Act. These provisions of the Dodd-Frank Act amend the emergency lending authority of the Federal Reserve Banks under section 13(3) of the Federal Reserve Act, 12 U.S.C. 343, and require the Board, in consultation with the Secretary of the Treasury, to establish by regulation certain policies and procedures with respect to emergency lending under that section.","2016/01/01 - Effective Date for Final Rule
2015/12/18 - Final Rule
2014/03/07 - Comment Deadline for Proposed Rule
2014/01/06 - Proposed Rule","2015/12/18 Fed Final Rule Extensions of Credit by Federal Reserve Banks (Effective January 1, 2016)","2014/01/06 Fed Proposed Rule Extensions of Credit by Federal Reserve Banks (Comments due by March 7, 2014)","760
761
764",,286
276,Loan Originator Compensation Under the Truth in Lending Act (Regulation Z),Mortgage Reforms,CFPB,"1402
1403
1414","12 CFR Part 1026
RIN 3170-AA13","The CFPB is amending Regulation Z to implement amendments to the Truth in Lending Act made by the Dodd-Frank Act. The final rule implements requirements and restrictions imposed by the Dodd-Frank Act concerning loan originator compensation; qualifications of, and registration or licensing of loan originators; compliance procedures for depository institutions; mandatory arbitration; and the financing of single-premium credit insurance. The final rule revises or provides additional commentary on Regulation Z's restrictions on loan originator compensation, including application of these restrictions to prohibitions on dual compensation and compensation based on a term of a transaction or a proxy for a term of a transaction, and to recordkeeping requirements. The final rule also establishes tests for when loan originators can be compensated through certain profits-based compensation arrangements. At this time, the CFPB is not prohibiting payments to and receipt of payments by loan originators when a consumer pays upfront points or fees in the mortgage transaction. Instead the CFPB will first study how points and fees function in the market and the impact of this and other mortgage-related rulemakings on consumers' understanding of and choices with respect to points and fees. This final rule is designed primarily to protect consumers by reducing incentives for loan originators to steer consumers into loans with particular terms and by ensuring that loan originators are adequately qualified.","2014/01/10 - Effective Date of Final Rule
2013/10/01 - Final Rule (Amendments)
2013/07/22 - Comment Deadline for Proposed Rule (Amendments)
2013/07/02 - Proposd Rule (Amendments)
2013/06/01 - Effective Date of Final Rule: Sections 1026.36(h)
2013/05/29 - Final Rule (Delay of Effective Date)
2013/05/10 - Proposed Rule (Delay of Effective Date)
2013/02/15 - Final Rule
2012/11/06 - Comment Deadline for Proposed Rule: Paperwork Reduction Act Analysis
2012/10/16 - Comment Deadline for Proposed Rule
2012/08/17 - Proposed Rule","2013/10/01 CFPB Final Rule Amendments to the 2013 Mortgage Rules under the Equal Credit Opportunity Act (Regulation B), Real Estate Settlement Procedures Act (Regulation X), and the Truth in Lending Act (Regulation Z) (Effective January 10, 2014, except for certain subsections which are effective January 1, 2014 or January 18, 2014)
2013/05/31 CFPB Final Rule Loan Originator Compensation Requirements under the Truth in Lending Act (Regulation Z); Prohibition on Financing Credit Insurance Premiums; Delay of Effective Date (Effective June 1, 2013)
2013/02/15 CFPB Final Rule and Official Interpretation Loan Originator Compensation Requirements Under the Truth in Lending Act (Regulation Z) (Effective January 10, 2014, except for Sections 1026.36(h) and (i) which are effective June 1, 2013)","2013/07/02 CFPB Proposed Rule Amendments to the 2013 Mortgage Rules under the Equal Credit Opportunity Act (Regulation B), Real Estate Settlement Procedures Act (Regulation X), and the Truth in Lending Act (Regulation Z) (Comments due by July 22, 2013)
2013/05/10 CFPB Proposed Rule Loan Originator Compensation Requirements under the Truth In Lending Act (Regulation Z); Prohibition on Financing Credit Insurance Premiums; Delay of Effective Date (Comments due by May 25, 2013)
2012/09/07 CFPB Proposed Rule Truth in Lending Act (Regulation Z); Loan Originator Compensation (Comments due by October 16, 2012; except for comments on the Paperwork Reduction Act, which are due by November 6, 2012)","1205
1206
1207
1208
1210
1222
1223",,243
277,Loan Origination Compensation,Mortgage Reforms,Federal Reserve,1403,12 CFR Part 226,"The Board is publishing final rules amending Regulation Z, which implements the Truth in Lending Act and Home Ownership and Equity Protection Act. The purpose of the final rule is to protect consumers in the mortgage market from unfair or abusive lending practices that can arise from certain loan originator compensation practices, while preserving responsible lending and sustainable homeownership. The final rule prohibits payments to loan originators, which includes mortgage brokers and loan officers, based on the terms or conditions of the transaction other than the amount of credit extended. The final rule further prohibits any person other than the consumer from paying compensation to a loan originator in a transaction where the consumer pays the loan originator directly. The Board is also finalizing the rule that prohibits loan originators from steering consumers to consummate a loan not in their interest based on the fact that the loan originator will receive greater compensation for such loan. The final rules apply to closed-end transactions secured by a dwelling where the creditor receives a loan application on or after April 1, 2011.","2011/04/01 - Effective Date of Final Rule
2010/09/24 - Final Rule","2010/09/24 Fed Final Rule Truth in Lending - Loan Origination Compensation (Effective April 1, 2011)",,1208,,110
